Season,Part,Date,Time,Venue,Attendance,H_Team,A_Team,Referee,H_HT_Goals,A_HT_Goals,H_FT_Goals,A_FT_Goals,H_Ratings,A_Ratings,H_ShotsTotal,A_ShotsTotal,H_ShotsOnPost,A_ShotsOnPost,H_ShotsOnTarget,A_ShotsOnTarget,H_ShotsOffTarget,A_ShotsOffTarget,H_ShotsBlocked,A_ShotsBlocked,H_Possession,A_Possession,H_Touches,A_Touches,H_PassSuccess,A_PassSuccess,H_PassesTotal,A_PassesTotal,H_PassesAccurate,A_PassesAccurate,H_PassesKey,A_PassesKey,H_DribblesWon,A_DribblesWon,H_DribblesAttempted,A_DribblesAttempted,H_DribbledPast,A_DribbledPast,H_DribbleSuccess,A_DribbleSuccess,H_AerialsWon,A_AerialsWon,H_AerialSuccess,A_AerialSuccess,H_OffensiveAerials,A_OffensiveAerials,H_DefensiveAerials,A_DefensiveAerials,H_TackleSuccessful,A_TackleSuccessful,H_TacklesTotal,A_TacklesTotal,H_TackleUnsuccesful,A_TackleUnsuccesful,H_TackleSuccess,A_TackleSuccess,H_Clearances,A_Clearances,H_Interceptions,A_Interceptions,H_CornersTotal,A_CornersTotal,H_CornerAccuracy,A_CornerAccuracy,H_Dispossessed,A_Dispossessed,H_Errors,A_Errors,H_FoulsCommited,A_FoulsCommited,H_OffsidesCaught,A_OffsidesCaught,H_Events,A_Events
2010/2011,regular,2011/5/17,19:45,City of Manchester Stadium,45103,Man City,Stoke,Lee Probert,1,0,3,0,7.38,6.14,19,6,1,0,5,1,9,3,5,2,56.3,43.7,706,573,87,78,550,415,477,324,15,4,12,2,26,6,2,12,46,33,9,6,60,40,0,0,0,0,14,22,16,34,2,12,88,65,32,18,15,27,3,3,67,33,8,10,0,2,7,9,0,4,goal(14);goal(53);goal(65);shot-on-post(69),yellow-card(35);yellow-card(51);error-to-goal(53);yellow-card(81)
2010/2011,regular,2011/5/22,16:00,Old Trafford,75400,Man Utd,Blackpool,Mike Dean,1,1,4,2,7.06,6.48,20,15,0,1,7,4,9,6,4,5,58.5,41.5,733,570,86,81,572,398,493,322,13,11,5,7,9,14,7,5,56,50,9,7,56,44,0,0,0,0,15,19,22,24,7,5,68,79,20,25,17,20,8,8,75,38,15,8,0,2,9,6,3,1,goal(21);yellow-card(34);goal(63);yellow-card(69);own-goal(74);goal(81),error-to-goal(21);goal(40);goal(57);yellow-card(76);shot-on-post(94)
2010/2011,regular,2011/5/22,16:00,Reebok Stadium,26285,Bolton,Man City,Chris Foy,0,1,0,2,6.39,7.33,15,17,0,1,2,7,8,8,5,2,40.5,59.5,492,695,70,83,317,483,223,399,9,10,8,9,14,14,9,8,57,64,11,10,52,48,0,0,0,0,22,23,31,31,9,8,71,74,22,51,17,17,6,4,50,75,18,17,1,0,13,11,0,1,yellow-card(14);red-card(86),yellow-card(22);shot-on-post(33);goal(43);goal(62)
2010/2011,regular,2011/5/22,16:00,Britannia Stadium,27566,Stoke,Wigan,Andre Marriner,0,0,0,1,6.71,7.16,14,14,0,0,6,4,6,2,2,8,50.8,49.2,561,566,68,66,367,372,248,245,10,13,6,9,20,22,9,6,30,41,21,17,55,45,0,0,0,0,31,29,40,35,9,6,78,83,20,40,8,18,5,3,40,67,15,18,0,0,10,10,2,3,yellow-card(63),clearance-off-the-line(15);yellow-card(21);yellow-card(55);yellow-card(67);goal(78);yellow-card(84)
2010/2011,regular,2011/5/22,16:00,Craven Cottage,25674,Fulham,Arsenal,Martin Atkinson,1,1,2,2,6.68,6.79,9,13,0,0,3,5,5,7,1,1,32.2,67.8,446,794,69,85,282,612,194,520,8,9,6,12,8,20,12,6,75,60,7,8,47,53,0,0,0,0,22,14,34,20,12,6,65,70,27,30,25,16,5,3,80,0,12,14,1,0,14,7,4,2,goal(26);yellow-card(55);goal(56);red-card(74);yellow-card(77),goal(29);yellow-card(49);goal(89)
2010/2011,regular,2011/5/22,16:00,White Hart Lane,36119,Tottenham,Birmingham,Mark Clattenburg,0,0,2,1,7.06,6.60,24,7,0,0,7,2,6,4,11,1,67.8,32.2,836,470,86,64,629,297,542,191,19,2,13,4,25,6,4,13,52,67,17,15,53,47,0,0,0,0,17,35,21,48,4,13,81,73,37,19,12,18,7,5,71,40,23,15,0,0,8,16,2,1,goal(49);goal(93),yellow-card(45);yellow-card(51);yellow-card(60);goal(79);yellow-card(86)
2010/2011,regular,2011/5/22,16:00,Upton Park,32792,West Ham,Sunderland,Anthony Taylor,0,1,0,3,6.34,7.85,19,20,0,0,9,12,6,5,4,3,51.2,48.8,648,649,82,81,437,436,359,354,10,19,4,8,15,19,8,4,27,42,10,12,45,55,0,0,0,0,21,31,29,35,8,4,72,89,17,30,10,12,4,6,0,50,20,10,1,0,9,8,4,0,,goal(17);yellow-card(50);goal(51);yellow-card(63);goal(93)
2010/2011,regular,2011/5/22,16:00,Villa Park,42785,Aston Villa,Liverpool,Lee Probert,1,0,1,0,7.10,6.57,9,12,0,0,3,3,1,6,5,3,48.5,51.5,603,636,76,77,447,472,340,362,10,7,11,10,21,20,10,11,52,50,7,12,37,63,0,0,0,0,23,21,33,32,10,11,70,66,21,11,20,17,4,5,75,20,11,13,0,0,14,11,2,5,yellow-card(7);clearance-off-the-line(14);goal(33);yellow-card(56),yellow-card(41);yellow-card(64)
2010/2011,regular,2011/5/22,16:00,Goodison Park,38712,Everton,Chelsea,Peter Walton,0,0,1,0,7.01,6.65,12,19,1,1,2,5,8,9,2,5,36.1,63.9,468,698,80,86,293,546,234,468,9,18,7,6,15,10,6,7,47,60,9,15,38,63,0,0,0,0,13,17,19,24,6,7,68,71,32,22,15,11,6,5,83,60,9,9,0,0,12,16,2,5,shot-on-post(7);yellow-card(26);yellow-card(50);second-yellow(53);goal(74),yellow-card(51);shot-on-post(55);yellow-card(93)
2010/2011,regular,2011/5/22,16:00,St James' Park,51678,Newcastle,West Brom,Mark Halsey,2,0,3,3,6.94,6.52,17,16,0,0,8,6,5,8,4,2,54.6,45.4,583,508,86,82,412,357,355,292,12,13,9,4,12,16,4,9,75,25,9,9,50,50,0,0,0,0,29,11,33,20,4,9,88,55,13,21,15,9,7,6,43,50,8,17,2,4,3,9,3,5,clearance-off-the-line(7);goal(16);goal(39);clearance-off-the-line(42);own-goal(47),clearance-off-the-line(35);error-to-goal(39);error-to-goal(47);goal(62);goal(71);goal(90)
2010/2011,regular,2011/5/22,16:00,Molineux,29009,Wolves,Blackburn,Howard Webb,0,3,2,3,6.56,7.10,16,16,0,0,4,9,8,5,4,2,58.3,41.7,537,465,69,60,366,281,253,170,10,11,2,4,7,6,4,2,29,67,7,11,39,61,0,0,0,0,10,9,14,11,4,2,71,82,26,64,11,22,8,3,63,100,4,8,0,0,13,10,2,2,yellow-card(18);clearance-off-the-line(41);yellow-card(48);goal(73);goal(87);yellow-card(88),goal(22);goal(38);yellow-card(45);goal(46);clearance-off-the-line(78)
2010/2011,regular,2011/5/09,20:00,Craven Cottage,25693,Fulham,Liverpool,Lee Mason,0,3,2,5,6.30,7.62,11,17,0,0,4,9,3,7,4,1,49.1,50.9,654,662,77,75,459,482,353,360,9,13,4,16,10,26,16,4,40,62,12,14,46,54,0,0,0,0,17,25,33,29,16,4,52,86,47,31,20,18,6,5,50,20,19,7,2,0,17,12,1,1,error-to-goal(1);yellow-card(2);error-to-goal(16);yellow-card(46);goal(57);yellow-card(61);yellow-card(74);goal(86);yellow-card(88);clearance-off-the-line(93),goal(1);goal(7);goal(16);clearance-off-the-line(34);yellow-card(57);yellow-card(66);goal(70);goal(75)
2010/2011,regular,2011/5/10,19:45,City of Manchester Stadium,47029,Man City,Tottenham,Mike Dean,1,0,1,0,6.92,6.72,9,16,0,0,3,2,3,7,3,7,38.1,61.9,564,783,80,87,374,595,301,518,7,11,5,13,16,26,13,5,31,50,11,14,44,56,0,0,0,0,26,25,39,30,13,5,67,83,53,33,17,13,2,8,100,38,14,13,0,0,7,9,3,1,own-goal(30);yellow-card(80),yellow-card(83);clearance-off-the-line(87)
2010/2011,regular,2011/5/14,12:45,Stadium of Light,41273,Sunderland,Wolves,Mike Jones,1,1,1,3,6.48,7.10,14,13,1,1,4,4,5,5,5,4,59.6,40.4,688,506,79,66,501,331,394,220,12,8,6,1,15,7,1,6,40,14,12,16,43,57,0,0,0,0,17,23,18,29,1,6,94,79,24,42,18,11,5,5,60,20,14,11,3,0,8,22,1,4,shot-on-post(9);goal(34);clearance-off-the-line(59);clearance-off-the-line(59),goal(23);shot-on-post(32);goal(54);goal(78)
2010/2011,regular,2011/5/14,12:45,Ewood Park,29867,Blackburn,Man Utd,Phil Dowd,1,0,1,1,6.75,6.64,6,12,1,1,2,2,4,5,0,5,24.5,75.5,388,861,65,88,235,725,153,636,5,9,2,3,12,9,3,2,17,33,11,3,79,21,0,0,0,0,15,18,18,20,3,2,83,90,31,22,29,12,2,6,0,17,8,9,0,0,11,11,0,1,yellow-card(19);goal(20);yellow-card(37);clearance-off-the-line(60);shot-on-post(65);yellow-card(71),shot-on-post(4);penalty_scored(73)
2010/2011,regular,2011/5/14,12:45,The Hawthorns,25838,West Brom,Everton,Anthony Taylor,1,0,1,0,7.05,6.51,15,22,0,0,4,2,7,12,4,8,47.5,52.5,552,571,80,82,378,395,302,324,9,16,8,5,12,13,5,8,67,38,10,5,67,33,0,0,0,0,18,16,23,24,5,8,78,67,38,20,10,15,3,12,33,83,12,10,0,0,15,9,4,2,goal(10);yellow-card(62);yellow-card(90),clearance-off-the-line(25);yellow-card(49);yellow-card(64);red-card(77)
